assignee,count
上海施威焊接产业有限公司,1
上海无线电设备研究所,1
上海朗帛通信技术有限公司,1
上海泽泉科技有限公司,1
上海海事大学,1
上海电子信息职业技术学院,1
上海科技大学,1
上海空间电源研究所,1
"上海蓝光科技有限公司, 彩虹集团公司",1
上海证锘信息科技有限公司,1
"上海集成电路研发中心有限公司, 成都微光集电科技有限公司",1
Wi-Lan有限公司,1
"St微电子公司, 雅马哈发动机欧洲股份有限公司",1
东北林业大学,1
Ric投资有限责任公司,1
7隧道公司,1
Anp技术公司,1
Arm有限公司,1
H·C·施塔克股份有限公司,1
Id量子技术股份有限公司,1
Lg 电子株式会社,1
L·皮尔·德罗什蒙,1
Nxp股份有限公司,1
东京毅力科创株式会社,1
东华大学,1
中国科学院合肥物质科学研究院,1
中国科学院大连化学物理研究所,1
中国科学院广州生物医药与健康研究院,1
"中国科学院微小卫星创新研究院, 上海微小卫星工程中心",1
中国科学院微电子研究所,1
"中国科学院物理研究所, 南京大学",1
中国科学院理论物理研究所,1
中国科学院福建物质结构研究所,1
中国科学院空间应用工程与技术中心,1
中国科学院等离子体物理研究所,1
中国科学院精密测量科学与技术创新研究院,1
中国科学院紫金山天文台,1
中国科学院软件研究所,1
中国科学院重庆绿色智能技术研究院,1
中国科学院长春应用化学研究所,1
"中国移动通信有限公司研究院, 中国移动通信集团公司",1
中国航天时代电子公司,1
中国计量学院,1
"中国计量科学研究院, 国网江苏省电力有限公司营销服务中心, 国网江苏省电力有限公司",1
"中山大学, 中山大学肿瘤防治中心（中山大学附属肿瘤医院、中山大学肿瘤研究所）",1
"中国科学院国家空间科学中心, 上海卫星工程研究所",1
"中国科学院化学研究所, 中国科学院大学",1
中南民族大学,1
中国科学院化学研究所,1
中原工学院,1
中国人民武装警察部队海警学院,1
中国人民解放军军事科学院国防科技创新研究院,1
中国人民解放军国防科学技术大学,1
中国人民解放军战略支援部队航天工程大学,1
中国人民解放军海军工程大学,1
中国人民解放军空军工程大学,1
中国地质大学（武汉）,1
中国工程物理研究院电子工程研究所,1
中国测绘科学研究院,1
"中国电力科学研究院, 国家电网公司",1
中国电子技术标准化研究院,1
中国电子科技集团公司第三十四研究所,1
中国电子科技集团公司第五十四研究所,1
中国电子科技集团公司第四十三研究所,1
中国矿业大学,1
中国矿业大学(北京),1
中国科学院云南天文台,1
中国科学院力学研究所,1
豪威科技股份有限公司,1
财团法人工业技术研究院,1
贵州大学,1
贺州学院,1
镓特半导体科技（上海）有限公司,1
长江量子(武汉)科技有限公司,1
长沙理工大学,1
闽江学院,1
阿尔卡特朗讯,1
阿托梅拉公司,1
阿萨纳生物科技有限责任公司,1
陕西科技大学,1
陕西航天蓝西科技开发有限公司,1
霍夫曼-拉罗奇有限公司,1
"霍夫曼-拉罗奇有限公司, 伯尔尼大学",1
霍尼韦尔国际公司,1
青岛农业大学,1
青岛鑫慧铭视觉科技有限公司,1
"青岛鲲腾量子应用技术有限公司, 合肥衡元量子技术有限公司",1
香港中文大学（深圳）,1
香港大学,1
马义才,1
高九华,1
黑龙江大学,1
长春吉大正元信息技术股份有限公司,1
量子设计有限公司,1
量子设计公司,1
"赵义博, 宋萧天",1
辽宁大学,1
连云港问鼎环保科技有限公司,1
通用汽车环球科技运作有限责任公司,1
逻安科技(天津)有限责任公司,1
郑州信大捷安信息技术股份有限公司,1
"郑州大学, 郑州师范学院",1
郑州天健网安技术有限公司,1
郑州航空工业管理学院,1
郑州轻工业学院,1
"郑晓牧, 曾振军",1
"郭景致, 郭大地",1
释延豹,1
重力技术设备有限公司,1
重庆三峡学院,1
重庆世纪文通科贸有限公司,1
重庆大学,1
重庆理工大学,1
量子科技（中国）有限公司,1
龙利得智能科技股份有限公司,1
